,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Starbucks Store Count,Walmart Store Count
0,601,-1.7,-16.47,8.54,0.0,0.0
1,602,9.44,-3.36,8.99,0.0,0.0
2,603,15.0,4.88,4.96,0.0,0.0
3,606,15.03,-9.31,10.96,0.0,0.0
4,610,17.98,-19.01,6.77,0.0,0.0
5,612,1.52,-2.2,6.0,0.0,0.0
6,616,3.4,-1.44,5.71,0.0,0.0
7,617,2.63,1.05,6.31,0.0,1.0
8,622,28.09,5.11,3.35,0.0,0.0
9,623,0.72,-2.64,5.45,0.0,0.0
10,624,21.44,-7.79,11.95,0.0,0.0
11,627,-0.4,11.83,7.55,0.0,0.0
12,631,-8.63,-12.14,8.97,0.0,0.0
13,637,9.65,3.09,6.4,0.0,0.0
14,638,6.08,-6.88,10.88,0.0,0.0
15,641,19.53,-5.94,8.26,0.0,0.0
16,646,5.84,-2.8,5.06,0.0,0.0
17,12852,-0.83,9.65,9.17,0.0,0.0
18,12853,16.49,-8.72,2.52,0.0,0.0
19,12855,-10.67,-15.23,26.42,0.0,0.0
20,12856,10.17,-50.13,-6.57,0.0,0.0
21,12857,15.35,3.36,-6.21,0.0,0.0
22,12858,310.71,147.21,0.0,0.0,0.0
23,12859,3.83,6.33,4.55,0.0,0.0
24,12860,48.71,-10.91,75.85,0.0,0.0
25,12861,5.65,-5.34,1.86,0.0,0.0
26,12862,15.05,10.15,45.42,0.0,0.0
27,12863,105.45,35.53,-21.17,0.0,0.0
28,12864,-8.38,-53.97,21.74,0.0,0.0
29,12865,8.9,1.69,1.41,0.0,0.0
30,12866,24.57,25.08,1.7,4.0,1.0
31,12870,13.14,22.02,-14.9,0.0,0.0
32,12871,23.53,-0.45,-6.47,0.0,0.0
33,12872,78.54,2.24,16.43,0.0,0.0
34,12873,19.39,0.94,-11.74,0.0,0.0
35,12874,-19.28,1.04,4.09,0.0,0.0
36,12878,33.59,8.61,4.8,0.0,0.0
37,12883,16.09,-7.53,-6.34,0.0,1.0
38,12884,48.49,13.49,-8.44,0.0,0.0
39,12885,5.05,7.51,8.51,0.0,0.0
40,12886,-6.58,197.5,18.75,0.0,0.0
41,12887,17.33,14.79,-7.89,0.0,0.0
42,12901,14.52,7.6,0.42,2.0,1.0
43,12903,20.89,10.22,4.28,0.0,0.0
44,12910,8.84,-9.78,-7.61,0.0,0.0
45,12911,-5.17,-37.24,-32.0,0.0,0.0
46,12912,38.72,-4.77,-5.64,0.0,0.0
47,12913,18.26,5.53,-3.15,0.0,0.0
48,12914,46.34,-6.58,18.02,0.0,0.0
49,12916,55.47,59.71,16.35,0.0,0.0
50,12917,9.19,7.78,-0.59,0.0,0.0
51,12918,3.63,18.14,3.35,0.0,0.0
52,12919,-4.91,-4.69,-6.91,0.0,0.0
53,12920,14.05,2.17,5.21,0.0,0.0
54,12921,44.82,-15.27,4.69,0.0,0.0
55,12922,-16.42,70.24,7.52,0.0,0.0
