,Median Household Income,Zip,Median Home Value,Have Bachelors+,Total Population,% Bachelors+
0,13318.0,00601,103200.0,11724.0,18533.0,63.26
1,14947.0,00602,89300.0,27432.0,41930.0,65.42
2,14437.0,00603,116700.0,36436.0,54475.0,66.89
3,11155.0,00606,101000.0,4038.0,6386.0,63.23
4,16367.0,00610,109400.0,19302.0,29111.0,66.3
5,17899.0,00612,100000.0,46828.0,70541.0,66.38
6,15491.0,00616,97500.0,7196.0,10617.0,67.78
7,16306.0,00617,105000.0,15889.0,24458.0,64.96
8,11871.0,00622,123400.0,4091.0,5419.0,75.49
9,16163.0,00623,113500.0,30259.0,45314.0,66.78
10,14475.0,00624,82200.0,15820.0,26439.0,59.84
11,16899.0,00627,89600.0,23026.0,35260.0,65.3
12,10595.0,00631,96400.0,1298.0,1836.0,70.7
13,15401.0,00637,93700.0,16782.0,25511.0,65.78
14,14061.0,00638,98900.0,12048.0,19166.0,62.86
15,14051.0,00641,97600.0,20193.0,30987.0,65.17
16,27701.0,00646,142700.0,24542.0,37942.0,64.68
17,50417.0,12852,148200.0,398.0,504.0,78.97
18,39167.0,12853,177800.0,1014.0,1406.0,72.12
19,46458.0,12855,143800.0,140.0,203.0,68.97
20,46250.0,12856,315800.0,117.0,117.0,100.0
21,52917.0,12857,154800.0,357.0,467.0,76.45
22,24500.0,12858,197200.0,67.0,67.0,100.0
23,68723.0,12859,187900.0,1650.0,2579.0,63.98
24,45250.0,12860,156700.0,558.0,1372.0,40.67
25,47917.0,12861,172200.0,414.0,541.0,76.52
26,-666666666.0,12862,-666666666.0,0.0,0.0,
27,50000.0,12863,208300.0,410.0,526.0,77.95
28,64432.0,12864,422700.0,46.0,56.0,82.14
29,49595.0,12865,136000.0,2618.0,3621.0,72.3
30,64344.0,12866,271900.0,25812.0,36312.0,71.08
31,44659.0,12870,173000.0,1299.0,1656.0,78.44
32,58388.0,12871,176800.0,2779.0,4047.0,68.67
33,16534.0,12872,190300.0,50.0,76.0,65.79
34,52500.0,12873,181000.0,596.0,717.0,83.12
35,94464.0,12874,511400.0,146.0,154.0,94.81
36,41691.0,12878,126600.0,754.0,966.0,78.05
37,41688.0,12883,130100.0,3763.0,5055.0,74.44
38,39083.0,12884,111900.0,312.0,445.0,70.11
39,44055.0,12885,139800.0,3073.0,4447.0,69.1
40,61298.0,12886,65400.0,188.0,237.0,79.32
41,46222.0,12887,96000.0,4028.0,5556.0,72.5
42,42686.0,12901,131500.0,20696.0,33314.0,62.12
43,52891.0,12903,128200.0,779.0,990.0,78.69
44,45795.0,12910,92000.0,1638.0,2247.0,72.9
45,62250.0,12911,310000.0,33.0,33.0,100.0
46,42721.0,12912,121500.0,1725.0,2351.0,73.37
47,51512.0,12913,153800.0,777.0,988.0,78.64
48,32031.0,12914,77500.0,457.0,826.0,55.33
49,38438.0,12916,69500.0,1323.0,2159.0,61.28
50,48083.0,12917,97700.0,821.0,1204.0,68.19
51,61420.0,12918,118000.0,1468.0,2341.0,62.71
52,53250.0,12919,108800.0,2011.0,2957.0,68.01
53,46875.0,12920,87500.0,1932.0,2774.0,69.65
54,56661.0,12921,168300.0,1591.0,2319.0,68.61
55,70625.0,12922,78300.0,30.0,37.0,81.08
56,47500.0,12923,78100.0,427.0,651.0,65.59
57,30352.0,12924,275000.0,86.0,159.0,54.09
58,42042.0,12926,72600.0,1239.0,1827.0,67.82
59,50781.0,12927,205000.0,159.0,192.0,82.81
60,49107.0,12928,160700.0,1350.0,2073.0,65.12
61,42300.0,12929,97100.0,3384.0,4041.0,83.74
62,47829.0,12930,70400.0,540.0,905.0,59.67
63,51538.0,12932,121400.0,1022.0,1373.0,74.44
64,-666666666.0,12933,-666666666.0,0.0,0.0,
65,40469.0,12934,81000.0,718.0,1088.0,65.99
66,42240.0,12935,85500.0,1156.0,1517.0,76.2
67,55729.0,12936,200000.0,406.0,549.0,73.95
68,44405.0,12937,66400.0,980.0,1449.0,67.63
69,49375.0,12939,134600.0,107.0,182.0,58.79
70,54966.0,12941,172800.0,825.0,1175.0,70.21
71,45000.0,12942,277800.0,437.0,580.0,75.34
72,49821.0,12943,269400.0,263.0,306.0,85.95
73,49727.0,12944,110500.0,3002.0,3991.0,75.22
74,35969.0,12945,140400.0,353.0,424.0,83.25
75,51102.0,12946,261700.0,3898.0,5449.0,71.54
76,36324.0,12950,108500.0,571.0,861.0,66.32
77,29825.0,12952,44400.0,356.0,456.0,78.07
78,42665.0,12953,83500.0,11834.0,16069.0,73.64
79,57788.0,12955,92900.0,278.0,359.0,77.44
80,45500.0,12956,92300.0,958.0,1531.0,62.57
81,29746.0,12957,65900.0,1288.0,1689.0,76.26
82,44464.0,12958,83500.0,1434.0,2046.0,70.09
83,47833.0,12959,101600.0,941.0,1406.0,66.93
84,51667.0,12960,103600.0,685.0,911.0,75.19
85,39191.0,12961,432400.0,61.0,79.0,77.22
86,67419.0,12962,154000.0,4159.0,6472.0,64.26
87,65833.0,12964,183000.0,129.0,156.0,82.69
88,36458.0,12965,65800.0,271.0,373.0,72.65
89,49479.0,12966,78200.0,2265.0,3344.0,67.73
90,49167.0,12967,70400.0,685.0,1086.0,63.08
91,29792.0,12969,83900.0,363.0,578.0,62.8
92,42321.0,12970,118200.0,338.0,1051.0,32.16
93,62926.0,12972,130000.0,4801.0,6573.0,73.04
