,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Brand
30,12866,0.2456639313688922,0.2508275101140125,0.09716410971641097,4.0
42,12901,0.14517640444173735,0.07604562737642585,-0.009953614224971008,2.0
75,12946,0.24789636413447613,-0.01222774168895682,-0.17213955874807593,1.0
122,13032,0.055351146674287345,0.24426719840478564,-0.0913538232478996,1.0
128,13039,0.22081862238391214,0.07442151344590368,0.023829933139036516,1.0
130,13041,0.1754602515954513,0.07764876632801161,0.13817097415506957,1.0
144,13066,0.01261257199535623,0.19938493080471553,0.04976110010488288,1.0
161,13090,0.06529583595853142,0.07038327526132404,0.02204101803805288,1.0
211,13202,0.18357221609702315,0.9183673469387755,0.2265210608424337,1.0
219,13210,0.06523171535251482,0.2144702842377261,-0.0240639137549331,1.0
224,13219,0.09970435675465152,0.06163828061638281,0.007999264435454212,1.0
225,13224,0.09008348919268072,0.12292118582791034,-0.04375908283545939,1.0
226,13290,0.15048155798881507,0.10154091682003419,,2.0
279,13365,0.19411287518831846,0.15,-0.0377297121483168,1.0
335,13490,-0.02895456868817463,0.6518254674977738,0.26941176470588235,1.0
343,13601,0.10980886268543172,0.13485804416403785,0.011777301927194861,2.0
344,13602,-0.19808204581779434,0.10154091682003419,-0.11412429378531073,1.0
472,13820,0.2479254436358994,0.053418803418803416,-0.012758251707959503,1.0
491,13850,0.02049463310526646,0.04065620542082739,-0.0699791390100512,3.0
504,13905,0.21022088536444566,0.14060860440713535,-0.02239559946115851,1.0
648,1035,-0.1465484046578944,0.048299968223705116,0.09093284557094329,1.0
653,1040,0.19876160990712075,-0.0026399155227032735,0.03127654645146343,2.0
657,1056,0.1869377533199328,0.024877832074633496,0.03450754852624011,1.0
702,1201,0.09370155467954112,-0.023529411764705882,-0.011994547932757837,1.0
736,1331,0.07301873334084169,-0.11572535991140642,0.07485096047692648,1.0
775,1460,0.16628318412962353,0.1034919028340081,0.18002011397921555,1.0
805,1532,0.08799080635893507,0.08383389919038914,0.1137993790814688,1.0
814,1545,0.1911673907430483,0.08624454148471616,0.06706408345752608,1.0
823,1570,0.16732834888454484,-0.07321131447587355,0.02251074951521794,1.0
829,1590,-0.061312196462934114,-0.030947775628626693,0.11578947368421053,1.0
833,1605,0.050095697761504535,-0.10678391959798995,0.10827594687653713,1.0
855,1748,0.31504550850811236,0.12016175621028308,0.2762569527756571,2.0
857,1752,0.0875049757731322,0.016143770941212304,0.042189033031723534,2.0
860,1757,0.26641521053036715,-0.08228043143297381,0.04836201534314742,1.0
861,1760,0.21593407813784066,0.2490118577075099,0.10651661868620779,2.0
869,1803,0.15531182889950476,0.14906542056074767,0.14644449659704295,3.0
888,1854,-0.14664756562619802,0.01695633743111488,0.019756476065417215,1.0
898,1887,0.21764606736003014,0.14928057553956833,0.1040064209751856,1.0
903,1905,0.3829831067161104,0.09169278996865204,0.05715409320311988,1.0
911,1923,0.0795108979171173,0.0513571048430016,0.059049447911665866,1.0
923,1960,0.0425174226678078,0.06296296296296296,0.05384552468715068,1.0
934,2026,0.16198838827311549,0.17871326449563146,0.0666208003669304,1.0
938,2038,0.25295983316316556,0.059001512859304085,0.09354937328034241,2.0
944,2052,0.20703641997415256,0.096894620736467,0.03573749187784275,1.0
954,2081,0.1990114889856306,0.1725938821188759,0.02243864433190495,1.0
955,2090,0.2982144939122903,0.1320450885668277,0.12188769663506616,2.0
957,2108,0.4717056308755909,0.2952649257774407,0.019830949284785435,1.0
958,2109,0.12632638774177818,0.29580674567000914,0.024746571258199165,1.0
959,2110,-0.03980949252750862,0.4465992898115269,0.4186684969114619,1.0
963,2115,0.40629707743296173,0.1292832312531038,0.04726968796433878,1.0
964,2116,0.23577892506351045,0.3529776674937965,0.18863936591809777,3.0
971,2125,0.35683137783988245,0.24210206561360875,0.20213754646840149,1.0
973,2127,0.4942839951865223,0.5111224750703145,0.2689072041679122,2.0
974,2128,0.21635901258385584,0.28745588707090153,0.17372247166987384,4.0
979,2134,0.5490169925574199,0.38400227725590663,0.1158892745280623,1.0
982,2138,0.30181004122416666,0.2057402255088593,0.04544010168414363,3.0
985,2141,0.24727627684362996,0.46339224236860227,0.09174025974025975,1.0
989,2145,0.4117910197386815,0.4577502691065662,0.16718777653235797,1.0
1002,2184,0.13421335563254091,0.17135961383748993,0.06672860201155228,3.0
1010,2210,0.2965675166376452,0.37436762225969644,1.0151187904967602,3.0
1011,2215,0.4416497074535742,0.3245186136071887,0.20068250426565165,3.0
1012,2301,0.08670836249125262,-0.015214910612400151,0.031896375179193116,1.0
